input,rhyme_scheme,meter
"В крайней ярости Архиепископ, весь красный от напряжения, с лицом, по которому струился пот, воззвал: -- Прочь, коварный дух!",AABB,choreios
"Русская девушка эта, по наблюдениям Кити, не была родня мадам Шталь и вместе с тем не была наемная помощница.",ABAB,iambos
"Сам он хохотал, прыгал, подергивал плечами и делал вид, что ему очень весело в присутствии тысячей лиц.",ABBA,choreios
"Я тоже не мог ей отказать, и она нежно приникла ко мне, хотя я с своей стороны ничем не отвечал на ее ласки.",AABB,iambos
"Пожав мне руку, Катя с какою-то поспешностью отошла от меня и села в другом конце комнаты, вместе с Алешей.",ABAB,choreios
"Я взял Антонину за руки и целовал ее в глаза и в губы, потому что это соответствовало всему, что было во мне, и всему, что нас окружало.",ABBA,iambos
"Водились в нем крысы, но Федор Павлович на них не вполне сердился: «Все же не так скучно по вечерам, когда остаешься один».",AABB,choreios
"Приехав домой, бабушка, отлепливая мушки с лица и отвязывая фижмы, объявила дедушке о своем проигрыше и приказала заплатить.",ABAB,iambos
"Сам хозяин являлся к столу в сюртуке, хотя несколько поношенном, но опрятном, локти были в порядке: нигде никакой заплаты.",ABBA,choreios
"Читатель, вероятно, замечает, что я себя не очень щажу и отлично, где надо,  аттестую: я хочу выучиться говорить правду.",AABB,iambos
"Пропащая моя жизнь, хуже собаки всякой... А еще кланяюсь Алене, кривому Егорке и кучеру, а гармонию мою никому не отдавай.",ABAB,choreios
"– Это ее манера, или... или просто бедняжка видела столько горя, что уж не доверяет никому на свете».",ABBA,iambos
"— спросил смиренный итальянец, — назначит ли мне сама один из предложенных предметов или предоставит решить это жребию?..",AABB,choreios
Раз он попросил у ней руку «на счастье»; она тихонько положила свою мягкую ручку на его жесткую и широкую ладонь.,ABAB,iambos
"Нет сомнения, что русские женщины лучше образованны, более читают, более мыслят, нежели мужчины, занятые бог знает чем.",ABBA,choreios
"Мало того, в этом смысле он до того дошел, что его никто не мог ни удивить, ни испугать, и это даже в самой ранней своей молодости.",AABB,iambos
"Эти трое отдельно от других политических, выезжавших позднее на подводах, выходили с уголовными рано утром.",ABAB,choreios
"И не надо, не надо возмущаться сказанным мною, «что нищая земля наша, может быть, в конце концов скажет новое слово миру».",ABBA,iambos
"Ой, не дайте татарину Святу церкву на глумление, Жен, девиц — на посрамление, Малых детушек — на игрище, Старых старцев на смерть лютую!",AABB,choreios
"Но — я вижу мужиков в непрерывном, каторжном труде, среди них много нездоровых, надорвавшихся в работе и почти совсем нет веселых людей.",ABAB,iambos
"Я знала, что все они мне враждебны, уже за одно то, что принуждены облекаться в  мой, ненавистный им образ.",ABBA,choreios
"Ребенка вынули на одной руке из ванны, окатили водой, окутали простыней, вытерли и после пронзительного крика подали матери.",AABB,iambos
"Ни один разговор со Свияжским, хотя и много умного было сказано им, не интересовал Левина; но доводы помещика требовали обсуждения.",ABAB,choreios
"Ты приходи нынче на сходку; я миру поговорю о твоей просьбе; коли он присудит тебе избу дать, так хорошо, а у меня уж теперь лесу нет.",ABBA,iambos
"Науке лэтеев были знакомы свойства эха и законы  колебания  струны,  но никто не хотел принять моих объяснений о колебании воздуха.",AABB,choreios
"Антипия;  молдаванка  вбежала  в комнату с каким-то неестественным хныканьем и, поскользнувшись в луже кислых щей, чуть не сломила ногу.",ABAB,iambos
"В одном из окон нижнего этажа, которых было всего три, торчал маленький красный гробик, вывеска незначительного гробовщика.",ABBA,choreios
"Голос ее звучит весело, она часто смеется, и, слыша этот звонкий смех, я думаю: ей хочется, чтоб я забыл о том, какою я видел ее первый раз.",AABB,iambos
"Начал прищуривать глаза – место, кажись, не совсем незнакомое: сбоку лес, из-за леса торчал какой-то шест и виделся прочь далеко в небе.",ABAB,choreios
"– Ну, другое, – поспешно сказала она, перевертывая листы и тотчас же поняв, что с этою пиесой было соединено что-то.",ABBA,iambos
"И Петр, хмуро наблюдавший за ходом битвы, тотчас приказывал нести на вал оружие или посылал туда подмогу.",AABB,choreios
"-- Все это так, но мысль о крутом и насильственном перевороте имеет в себе что-то отталкивающее для многих.",ABAB,iambos
"Испуганно затрепетали молодые голоса и бросились куда-то торопливо, растерянно; снова закричал громкий, гневный голос, всё заглушая.",ABBA,choreios
"Это означает, что облик поэта-декадента, рисующийся в повести, запечатлен совсем еще начинающим автором, только ищущим путей развития.",AABB,iambos
"Поднявшись на гору мимо какой-то высокой белой стены, он вошел в улицу разбитых маленьких домиков, беспрестанно освещаемых бомбами.",ABAB,choreios
"— Это — слова для песни, сынок... — Миллионы голосов поют эту песню, и всё более внимательно слушает ее вся жизнь!",ABBA,iambos
"Маслова ничего не отвечала и молча прошла к своему месту, второму с края, рядом с Кораблевой, и села на доски нар.",AABB,choreios
"Тришка – эвто будет такой человек удивительный, который придет; а придет он, когда наступят последние времена.",ABAB,iambos
"У нас всем, изволите видеть, распоряжается комиссия построения, отрывает всех от дела, посылает куды угодно.",ABBA,choreios
"Нужно сказать директору, что если на сцене будет по-прежнему сквозной ветер, то никто не согласится служить, всякий уйдет.",AABB,iambos
"Оставь это другим; эти ложные отношения могут испортить наши настоящие, а я еще надеюсь, что настоящие вернутся.",ABAB,choreios
"– Неизвестно, к чему бы теперь притронулся дьяк своими длинными пальцами, как вдруг послышался в дверь стук и голос козака Чуба.",ABBA,iambos
"Птицы кружились над нами, ландыши и розы таяли в жемчужной пене, скользившей вдоль гладких боков нашей лодки.",AABB,choreios
"Теперь все такие поветрия, немудрено схватить жабу, и я, признаюсь вам, начинаю уже кутаться во фланель.",ABAB,iambos
"Он позвонил кельнера, велел подать себе счет, удержал место в вечернем омнибусе: он с намерением отрезывал себе все пути.",ABBA,choreios
"Нас, европейцев,  здесь  только  трое;  но  вас   и   Виктора   довольно,   чтобы засвидетельствовать завещание.",AABB,iambos
"Но добродушная наивность Николая была так безгранична, что иногда муж невольно поддавался веселому настроению духа Николая.",ABAB,choreios
"Я уверен, что вы, Наталья Николаевна, не участвовали в его сегодняшнем поступке ни словом, ни советом.",ABBA,iambos
"-- Впрочем, бедность еще не порок... и... признаюсь вам... позвольте вас спросить, что он, красив, умен?",AABB,choreios
"Но, слава богу, Лембке наконец явились: он вел ее под руку; я, признаюсь, и сам ужасно опасался за их появление.",ABAB,iambos
"И один из таких разговоров, в котором Катавасов, очевидно, думал, что он одержал верх, было первое, что вспомнил Левин, узнав его.",ABBA,choreios
"Помню, что матушка что-то мне говорила, подзывала меня к себе; я была как без памяти, ничего не слыхала и не видала.",AABB,iambos
"Как будто, окончив мирские дела, он не находил больше причин удерживаться и считал теперь позволительным себе это облегчение.",ABAB,choreios
"Грязная девка вышла из-за сундука, прибрала косу и, вздохнув, пошла тупыми босыми ногами вперед по тропинке.",ABBA,iambos
"Иначе были бы все улики для обвинения меня если не в соучастии, то в ""недонесении"" на преступника, который был мне известен.",AABB,choreios
Напиться допьяна старым цекубским и добрым каленским или повеселиться ночь с красивой флейтисткой мне всегда казалось одно и то же.,ABAB,iambos
"Как только он узнает, что и мне что-нибудь по завещанию досталось, то тотчас же ко мне и посватается.",ABBA,choreios
"Ивана Демьяныча я купил у матери моего предшественника, судебного следователя Поспелова, умершего незадолго перед моим назначением.",AABB,iambos
"Но отталкивал его князь не потому, что его презирал, а потому, что тема любопытства его была деликатна.",ABAB,choreios
"Видите ли, о Рыбине необходимо написать бумажку для деревни, ему это не повредит, раз он ведет себя так смело.",ABBA,iambos
"Правду сказать, оба они, он весь бледный, она вся розовая от волнения, подвигались вперед, как отуманенные.",AABB,choreios
"Он разжег алчность трактирщика и, убедив его действовать возможно скорее, ушел торжествующий и непреклонно свирепый.",ABAB,iambos
"Когда он хвалил меня за понятливость, гладил по голове и целовал, я тотчас же начинала плакать от восторга.",ABBA,choreios
"Разговаривая с гостями, она теряла для меня главную свою прелесть – спокойной рассудительности и простоты.",AABB,iambos
"– оказывается, что все это вздор, и тебе говорят, что путные люди этакими пустяками больше не занимаются и что ты, мол, отсталый колпак.",ABAB,choreios
"Судя по тому, как она вела себя в отдельном кабинете ресторана, я заключил, что она не в первый раз в такой обстановке.",ABBA,iambos
"Лицо у нее было виноватое и испуганное, и руки она держала, как гимназистка, которой делают выговор.",AABB,choreios
"Может быть, вы пожелаете быть у Анны Николаевны, и я не вправе разочаровывать: к тому же я вполне уверена, что время покажет свое.",ABAB,iambos
"Кити видела, что ему хотелось посмеяться над Варенькой, но что он никак не мог этого сделать, потому что Варенька понравилась ему.",ABBA,choreios
"Но чем ближе подходило время отъезда, тем тяжелее становилась ему та жертва, которую он приносил тому, что он считал должным.",AABB,iambos
"Теперь, когда Мария рассказала о сокровищах неведомого  дворца, старый каллиграф тотчас заговорил об этом дворце.",ABAB,choreios
"Впрочем, на вид тверд и незыблем, а на самом деле ничего нет более шатающегося и в себе неуверенного.",ABBA,iambos
"Иван Федорович, вошедши в комнату, решился не терять напрасно времени и, несмотря на свою робость, наступать решительно.",AABB,choreios
"Ни одного художника и музыканта она не пропускала, чтобы не налгать ему всякого вздора по поводу его замечательного таланта.",ABAB,iambos
"Одних этих слов довольно, чтобы тебе голову отрубили, нас всех бросили в темницу, а имущество наше отобрали в фиск!",ABBA,choreios
"Город еще за две недели был начинен семейными анекдотами, которые все тотчас же переносились ко двору Юлии Михайловны нашими зубоскалами.",AABB,iambos
"Лицо его было чисто выбрито, одет он был в гвардейский ваточный сюртук с Георгием в петлице и в прямо надетой простой фуражке.",ABAB,choreios
"Сначала художника бросали в пот такие требованья: все это нужно было сообразить, обдумать, а между тем сроку давалось очень немного.",ABBA,iambos
"- Нас с вами постигла обоюдная русская судьба, Аркадий Макарович: вы не знаете, что делать, и  я  не  знаю,  что  делать.",AABB,choreios
"А что до Ракитина, то тот, как оказалось потом, очутился столь рано в ските по особливому поручению госпожи Хохлаковой.",ABAB,iambos
"Он получил чин и повышение и вслед за тем представил проект изловить всех контрабандистов, прося только средств исполнить его самому.",ABBA,choreios
"А пятьдесят четыре тысячи десятин земли, -- сказал он с какой-то особенной гордостью, точно он сам сделал все эти десятины.",AABB,iambos
"Даже гордость и та брезгливая неприступность, за которую так ненавидели его у нас четыре года назад, теперь уважались и нравились.",ABAB,choreios
"Ответы Гесперии были подобны ударам бича по лицу, и мое сознание мутилось, Я переставал владеть своими чувствами и рассудком.",ABBA,iambos
"- Я говорю: он может всех обеспечить, всех,  только  не  мешайте  и  не отговаривайте... - Вы, должно  быть,  с  ума  сошли!",AABB,choreios
"Что же, все это лишь новые голоса в старом русском хоре; а потому полезны и уж во всяком случае любопытны.",ABAB,iambos
"– проговорил фон Лембке, энергически схватив испуганного Степана Трофимовича за руку и изо всех сил сжимая ее в своей.",ABBA,choreios
"С одной стороны, чтоб дать отдохнуть лошадям, а с другой стороны, чтоб и самому несколько закусить и подкрепиться.",AABB,iambos
"Он даже сказал ему между прочим, что слышал от жены, что она встретила его у княгини Марьи Борисовны.",ABAB,choreios
"Богородица с младенцем, домашний, семейный, старинный, риза серебряная золоченая — стоит — ну, рублей шесть стоит.",ABBA,iambos
"После, как расскажу вам всю мою подноготную, меня же начнете на смех подымать, меня же начнете гонять, а я-то вам говорю, говорю, говорю!",AABB,choreios
"– Я одно говорю, – ответила Агафья Михайловна, очевидно не случайно, но со строгою последовательностью мысли, – жениться вам надо, вот что!",ABAB,iambos
"Эти трое до сих пор отрицают всякое свое участие в злодеянии, упорно уверяя, что их захватили ошибкой; может, они и правы.",ABBA,choreios
"- уже действительно озлился Ламберт, - я ему достаточно дал  и на шляпу, а он тотчас устриц и шампанского.",AABB,iambos
"Правда, иногда я чувствую, что могу быть довольным собою; но это какое-то сухое, разумное довольство.",ABAB,choreios
"С Дмитрием Яковлевичем Бельтов вспомнил университетские годы, бездну тогдашних анекдотов, тогдашние мечты, надежды.",ABBA,iambos
"И вдруг самым небрежным тоном, таким, что он сам себе гадок казался, как будто он просил экипажа съездить в город, он сказал отцу.",AABB,choreios
"Я решился за ним последовать, несмотря на мое желание пробыть еще несколько дней посреди моего семейства.",ABAB,iambos
"– сказал он после минуты молчания, перегибаясь к ней, и открыл руку, надеясь, что она положит в нее свою.",ABBA,choreios
"То же самое сделал и мальчик, ведший нищего-слепца, и мужик, несший для свалки на площади бочонок испортившихся сельдей.",AABB,iambos
"Аглая после того расхохоталась ужасно и побежала к себе чрезвычайно довольная, и весь день потом была очень веселая.",ABAB,choreios
"Сначала шли похвалы, которые кончались словами: ""помилуй мя"", а потом шли новые похвалы, кончавшиеся словом: ""аллилуйя"".",ABBA,iambos
"Они втрое менее, чем праздные недоразвитки, могут заслуживать милосердия!» Вот результат, прямо выходящий из вашей теории.",AABB,choreios
"Дело, казалось бы, обделано было кругло, но чиновники, неизвестно почему, стали думать, что, верно, об этих мертвых душах идет теперь дело.",ABAB,iambos
"Я не мог вставить ни слова в залп его вопросов и только улыбался, глядя в его доброе лицо, сиявшее удовольствием встречи.",ABBA,choreios
Павлоградский полк в делах потерял только двух раненых; но от голоду и болезней потерял почти половину людей.,AABB,iambos
"При совершенном невежестве, он вдруг способен изумить неожиданным знакомством  с иными понятиями, которых бы  в  нем  и  не  предполагал.",ABAB,choreios
"Он вечно суетился и спешил; с утра надевал тесный вицмундир и чрезвычайно тугой галстух, недоедал и недопивал, все распоряжался.",ABBA,iambos
"Мимо Каштанки, заслоняя ей поле зрения и толкая ее ногами, безостановочно взад и вперед проходили незнакомые заказчики.",AABB,choreios
"Всю семью держал в страхе божием и взаперти, был чрезмерно скуп и службой скопил себе домик и капитал.",ABAB,iambos
"""Сокроешь лицо твое - смущаются, - гласил псалтырь, - возьмешь от них дух - умирают и в прах свой возвращаются.",ABBA,choreios
